#
# 3-day summary product timeseries for flagstaff2
#
# Site: flagstaff2
# Veg Type: GR
# ROI ID Number: 1000
# Lat: 35.179225
# Lon: -111.604506
# Elev: 6983
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2024-03-15
# Creation Time: 15:54:10
# Update Date: 2024-10-29
# Update Time: 11:17:14
# Final Processing Date:: 2024-10-29
# Final Processing Time:: 14:47:24
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2023-01-14,2023,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-01-15,2023,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-01-16,2023,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-01-17,2023,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-01-18,2023,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-01-19,2023,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-01-20,2023,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-01-21,2023,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-01-22,2023,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-01-23,2023,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-01-24,2023,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-01-25,2023,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-01-26,2023,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-01-27,2023,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-01-28,2023,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-01-29,2023,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-01-30,2023,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-01-31,2023,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-02-01,2023,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-02-02,2023,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2023-02-03,2023,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31669,0.31848,0.32147,0.32305,0.38541,0.38415,0.38951,0.40064,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
